CommentId,VideoId,Text,Likes
UgzarqjaaPC7TbFINNx4AaABAg,dQw4w9WgXcQ,1 billion views for never gonna give you up  amazing crazy wonderful rick ,1376633
Ugy20HOnmWIO2LUghyd4AaABAg,dQw4w9WgXcQ,thank god it39s still here,79
Ugwfv5qd4ZSxEGoW1VF4AaABAg,dQw4w9WgXcQ,      ,20
UgxUF8ISoEJW5bIoRg94AaABAg,dQw4w9WgXcQ,with all the posts going around saying this videos gone theyre rick rolling the internet once again rick is taking over again,20
UgwwRpHM9sa2cDDDdcx4AaABAg,dQw4w9WgXcQ,   cs2,16
UgywP7-zb6GJlmAs26F4AaABAg,dQw4w9WgXcQ,unlike google xscreensaver will never run around and desert you,14
Ugy6SPlM89oPuv-pasd4AaABAg,dQw4w9WgXcQ,   ,12
UgzmYJRaTqYbEM-QIIh4AaABAg,dQw4w9WgXcQ,aside from being rickrolled this song never gets old,12
UgxUFu_zsmr9iuwsHQl4AaABAg,dQw4w9WgXcQ,  2 ,12
UgxM-5xwwFMzsxRKoBt4AaABAg,dQw4w9WgXcQ,anyone else here fromquotthis video has been removed by the creatorquot trend on social media,12
UgwnIkUaByV84ij_dLl4AaABAg,dQw4w9WgXcQ,    ,11
UgxZKKK9uAs8cjFxnOJ4AaABAg,dQw4w9WgXcQ,anyone came here after hearing this vedio is taken down ,11
UgwZo1ep1R3ooYXrILV4AaABAg,dQw4w9WgXcQ, 1010,11
Ugz2AGAgmdkt0SEeu_B4AaABAg,dQw4w9WgXcQ,thank godi thought it got removed,9
Ugz5csJ-6qC7vGq_ihB4AaABAg,dQw4w9WgXcQ,  2   ,9
Ugy6K4CndMcKXEeaMYl4AaABAg,dQw4w9WgXcQ,song  37 years agobrvideo  14 years agobrcomments  1 second ago,7
UgymcGLSwf0DlFCIj7B4AaABAg,dQw4w9WgXcQ, ,7
Ugwuj3v4UD2MGSV4srd4AaABAg,dQw4w9WgXcQ,the song hadn39t been taken downbrbrrick was never gonna give us up that easily,7
UgzGC_BwJTP7LoiZFKB4AaABAg,dQw4w9WgXcQ,probably the only times we were rick rolled and thankful for it,6
Ugyp-0nzW80j35AaxDx4AaABAg,dQw4w9WgXcQ,anyone here june 2024 ,6
Ugw3HvvOm5Iun30K5g54AaABAg,dQw4w9WgXcQ,the reason why i am offically scared of outlook and chrome music lab,5
UgwcZxmjkg4eLdDM9OV4AaABAg,dQw4w9WgXcQ,i came here by myself,5
UgxADIa5ur5x4mwKL-94AaABAg,dQw4w9WgXcQ,we got rickrolled again,4
UgylunpCAqXOiWuJv7J4AaABAg,dQw4w9WgXcQ,did we all js get rick rolled thinking it got deleted,4
Ugys26Cau6gYPZ-X6gx4AaABAg,dQw4w9WgXcQ,anyone watching in 2024br,4
UgxEUl-rZfBKPotittB4AaABAg,dQw4w9WgXcQ,let me guess you came here because they said the vid was removed brightb ,4
UgywLGB3-DbqGhMo3vd4AaABAg,dQw4w9WgXcQ,wait where39s my free robux,4
UgxN51X2p3U-7NQNfJ54AaABAg,dQw4w9WgXcQ,the viral post about this being taken down is literally a diy rickroll lmao,4
